status	dataset_id	zip_path	size_bytes	seconds	blosc_arrays	blosc_chunks	message
converted	e6dad530-418b-47f9-af6e-472e56a7b314	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e6dad530-418b-47f9-af6e-472e56a7b314/full.zarr.zip	933498927	8.266429539769888	6	802	ok
converted	e40c6272-af77-4a10-9385-62a398884f27	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e40c6272-af77-4a10-9385-62a398884f27/full.zarr.zip	7520510892	38.51746188104153	6	4536	ok
converted	e7bd68ab-df49-44df-9b1e-8486114aeeb5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e7bd68ab-df49-44df-9b1e-8486114aeeb5/full.zarr.zip	1638023370	11.774027973413467	6	1074	ok
converted	e8681d74-ac9e-4be5-be14-1cf1bbd54dd7	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e8681d74-ac9e-4be5-be14-1cf1bbd54dd7/full.zarr.zip	308825589	2.1925005726516247	3	339	ok
converted	e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e7c5ba7e-4be0-4696-af50-a07d0dc7aac5/full.zarr.zip	1209121957	8.99520742893219	6	830	ok
converted	ea01c125-67a7-4bd3-a8b0-e1b53a011b7e	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ea01c125-67a7-4bd3-a8b0-e1b53a011b7e/full.zarr.zip	85796652	0.754712276160717	6	62	ok
converted	ea786a06-5855-48b7-80d7-0313a21a2044	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ea786a06-5855-48b7-80d7-0313a21a2044/full.zarr.zip	30052658	0.37252143397927284	6	26	ok
converted	e84f2780-51e8-4cfa-8aa0-13bbfef677c7	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e84f2780-51e8-4cfa-8aa0-13bbfef677c7/full.zarr.zip	1231817462	9.530599132180214	6	864	ok
converted	ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5/full.zarr.zip	1327891565	4.82472413033247	7	533	ok
converted	ebaaa22f-fbaa-4a9c-aa62-b938a4e2d319	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ebaaa22f-fbaa-4a9c-aa62-b938a4e2d319/full.zarr.zip	267866390	2.0672049075365067	6	182	ok
converted	eb499fd8-7000-419f-8854-926b9b61b11f	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/eb499fd8-7000-419f-8854-926b9b61b11f/full.zarr.zip	5009674446	32.31013264507055	6	3054	ok
converted	ec6ceff8-c8bc-488d-b6bf-30df2fa92169	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ec6ceff8-c8bc-488d-b6bf-30df2fa92169/full.zarr.zip	995055079	7.919615086168051	6	734	ok
converted	ecce9688-66ea-4600-98f7-84aed7421c01	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ecce9688-66ea-4600-98f7-84aed7421c01/full.zarr.zip	2024125296	9.13863679766655	6	1254	ok
converted	ecd9230d-c571-4dab-abd3-8b54c74833f0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ecd9230d-c571-4dab-abd3-8b54c74833f0/full.zarr.zip	369087402	2.498886339366436	3	405	ok
converted	ed11cc3e-2947-407c-883c-c53b043917c3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ed11cc3e-2947-407c-883c-c53b043917c3/full.zarr.zip	82447790	0.6191286705434322	3	87	ok
converted	ed33c203-233a-476a-a56b-28da945fdd32	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ed33c203-233a-476a-a56b-28da945fdd32/full.zarr.zip	307264408	2.105447106063366	3	333	ok
