[2026-07-03T14:42:08] root=/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens tasks=622 jobs=8 blocksize=65536 verify=True
[2026-07-03T14:42:08] skipped     0.0% 00476f9f-ebc1-4b72-b541-32f912ce36ea (98.5 MiB, 0.0s) already at target blocksize
[2026-07-03T14:44:02] converted   7.0% 13149914-ea03-4f01-8bf6-b793b667127b (9620.0 MiB, 77.8s) ok
[2026-07-03T14:44:03] converted   7.3% 1b9d8702-5af8-4142-85ed-020eb06ec4f6 (3499.3 MiB, 29.5s) ok
[2026-07-03T14:44:04] converted   7.3% 1cf24082-59de-4029-ac81-6e398768af3a (277.6 MiB, 2.2s) ok
[2026-07-03T14:44:05] converted   7.3% 1e4214ce-7347-4ec7-97b3-fcf7c1938e8b (264.1 MiB, 1.3s) ok
[2026-07-03T14:44:07] converted   7.3% 1e5bd3b8-6a0e-4959-8d69-cafed30fe814 (382.1 MiB, 3.2s) ok
[2026-07-03T14:44:07] converted   7.5% 1c739a3e-c3f5-49d5-98e0-73975e751201 (2053.1 MiB, 16.6s) ok
[2026-07-03T14:44:08] converted   7.5% 1f1c5c14-5949-4c81-b28e-b272e271b672 (110.5 MiB, 1.1s) ok
[2026-07-03T14:44:08] converted   7.9% 1a38e762-2465-418f-b81c-6a4bce261c34 (6679.2 MiB, 51.6s) ok
[2026-07-03T14:44:13] converted   8.0% 203025fe-fa99-4d57-81da-458ed8f0c334 (680.5 MiB, 4.6s) ok
[2026-07-03T14:44:16] converted   8.1% 21722308-5091-4b63-9c07-4f116ab9a7b3 (1202.1 MiB, 8.1s) ok
[2026-07-03T14:44:17] converted   8.2% 1d89d081-f43d-401a-be76-bd6ef9259f4e (2089.9 MiB, 14.6s) ok
[2026-07-03T14:44:18] converted   8.2% 22658f4f-9268-41ad-8828-cc53f4baa9fa (127.9 MiB, 1.0s) ok
[2026-07-03T14:44:21] converted   8.2% 234c23d0-d6cd-4612-a40d-e5811727564b (476.3 MiB, 2.8s) ok
[2026-07-03T14:44:27] converted   8.8% 1a9f3b38-b86d-416d-bbdc-9058ad3ff42d (8473.5 MiB, 65.9s) ok
[2026-07-03T14:44:27] converted   8.8% 248cf7bf-508b-4c28-a2fd-cabe2ab956aa (71.7 MiB, 0.7s) ok
[2026-07-03T14:44:30] converted   8.9% 242c6e7f-9016-4048-af70-d631f5eea188 (1161.6 MiB, 9.3s) ok
[2026-07-03T14:44:33] converted   9.1% 21d3e683-80a4-4d9b-bc89-ebb2df513dde (1997.4 MiB, 16.4s) ok
[2026-07-03T14:44:33] converted   9.1% 251b1a7e-d050-4486-8d50-4c2619eb0f46 (918.3 MiB, 5.9s) ok
[2026-07-03T14:44:33] converted   9.1% 2672b679-8048-4f5e-9786-f1b196ccfd08 (376.3 MiB, 3.3s) ok
[2026-07-03T14:44:33] converted   9.1% 2727d83a-0af0-443a-bff8-58dc7028289a (96.4 MiB, 0.7s) ok
[2026-07-03T14:44:34] converted   9.2% 27d3952f-fbbc-497d-98d1-f37f3d555235 (165.5 MiB, 1.1s) ok
[2026-07-03T14:44:35] converted   9.2% 2856d06c-0ff9-4e01-bfc9-202b74d0b60f (236.4 MiB, 1.6s) ok
[2026-07-03T14:44:37] converted   9.2% 27d91086-cfe3-4e33-9282-bd1246e5ce8e (446.9 MiB, 3.2s) ok
[2026-07-03T14:44:37] converted   9.2% 2872f4b0-b171-46e2-abc6-befcf6de6306 (319.2 MiB, 2.8s) ok
[2026-07-03T14:44:38] converted   9.2% 2a65bd41-4a3f-42f4-98b2-c53962811152 (98.0 MiB, 0.9s) ok
[2026-07-03T14:44:39] converted   9.2% 2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6 (128.6 MiB, 0.9s) ok
[2026-07-03T14:44:39] converted   9.8% 1fc48734-35ee-4372-885c-95fd2674c75a (7464.9 MiB, 31.8s) ok
[2026-07-03T14:44:45] converted   9.9% 29244e1d-02e6-4133-b411-516ef7474638 (1644.9 MiB, 9.7s) ok
[2026-07-03T14:44:46] converted  10.8% 19053a82-9c89-4fb8-bd19-d7b1800b0b7b (13115.7 MiB, 108.7s) ok
[2026-07-03T14:44:47] converted  10.8% 2dc198e1-e0a6-4e88-b7a3-4b66be7e4a4a (106.0 MiB, 1.0s) ok
[2026-07-03T14:44:49] converted  10.8% 2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0 (220.4 MiB, 1.8s) ok
[2026-07-03T14:44:51] converted  10.9% 2adb1f8a-a6b1-4909-8ee8-484814e2d4bf (1383.7 MiB, 12.2s) ok
[2026-07-03T14:44:53] converted  10.9% 2e9d2f32-4cfb-49b5-b990-cbf4c241214e (582.1 MiB, 3.4s) ok
[2026-07-03T14:44:54] converted  11.0% 2f05ab20-a092-4bab-9276-3e0eb24e3fee (510.3 MiB, 2.7s) ok
[2026-07-03T14:44:54] converted  11.0% 2f6a20f1-173d-4b8d-860b-c47ffea120fa (16.7 MiB, 0.3s) ok
[2026-07-03T14:44:55] converted  11.0% 2f7230e7-4706-4924-b571-473fc1e52c30 (74.4 MiB, 0.7s) ok
[2026-07-03T14:44:55] converted  11.2% 2a498ace-872a-4935-984b-1afa70fd9886 (3728.8 MiB, 18.9s) ok
[2026-07-03T14:44:56] converted  11.3% 2f132ec9-24b5-422f-9be0-ccef03b4fe28 (366.6 MiB, 3.0s) ok
[2026-07-03T14:45:03] converted  11.4% 2c820d53-cbd7-4e0a-be7a-a0ad1989a98f (2555.6 MiB, 17.9s) ok
[2026-07-03T14:45:03] converted  11.4% 30f5e171-83d7-4fc0-bf75-384f122346b3 (102.7 MiB, 0.6s) ok
[2026-07-03T14:45:04] converted  11.5% 30cd5311-6c09-46c9-94f1-71fe4b91813c (1126.8 MiB, 8.2s) ok
[2026-07-03T14:45:04] converted  12.2% 218acb0f-9f2f-4f76-b90b-15a4b7c7f629 (9979.7 MiB, 51.7s) ok
[2026-07-03T14:45:05] converted  12.3% 30c2a6fd-d547-460f-a5e7-44c62a2af7ad (1146.8 MiB, 9.4s) ok
[2026-07-03T14:45:05] converted  12.5% 3079e9b0-c6db-45c8-b998-a4555a73968e (2440.4 MiB, 9.7s) ok
[2026-07-03T14:45:06] converted  12.5% 31285bcd-9a28-48ce-8cc0-543af80261d3 (827.1 MiB, 3.1s) ok
[2026-07-03T14:45:07] converted  12.5% 31f04740-c712-4c4b-a3f8-55c0506b3034 (367.3 MiB, 2.9s) ok
[2026-07-03T14:45:08] converted  13.0% 2ac76f1b-43ef-4271-8686-2f165570989f (6331.9 MiB, 28.6s) ok
[2026-07-03T14:45:08] converted  13.0% 3241c34f-581a-4de3-81fe-28e3de182680 (163.0 MiB, 1.5s) ok
[2026-07-03T14:45:09] converted  13.0% 343ff97c-85df-494b-8400-beb937618611 (138.0 MiB, 0.9s) ok
[2026-07-03T14:45:09] converted  13.0% 322c816f-608a-4da1-99c4-36ca4ad45146 (472.6 MiB, 4.0s) ok
[2026-07-03T14:45:11] converted  13.1% 31f657dc-1875-4c4b-a5ca-ce63b3ef3a82 (1026.9 MiB, 6.6s) ok
[2026-07-03T14:45:13] converted  13.1% 35c8a04c-8639-4d15-8228-765d8d93fc96 (141.5 MiB, 1.1s) ok
[2026-07-03T14:45:13] converted  13.1% 364348b4-bc34-4fe1-a851-60d99e36cafa (89.4 MiB, 0.7s) ok
[2026-07-03T14:45:17] converted  13.2% 314ab602-8c17-449d-bcc6-ec9e79a6cf18 (1830.6 MiB, 13.2s) ok
[2026-07-03T14:45:19] converted  13.3% 367b55f4-d543-49aa-90e8-4765fcb8c687 (257.3 MiB, 1.7s) ok
[2026-07-03T14:45:20] converted  14.2% 1b350d0a-4535-4879-beb6-1142f3f94947 (13992.0 MiB, 115.6s) ok
[2026-07-03T14:45:20] converted  14.4% 34229bdc-a895-4394-8820-574e4028d8c6 (2995.6 MiB, 12.8s) ok
